term_str,n,p,i,n_chars,max_pos
custom,115,0.0014999934782892249,9.38082805651443,6,NN
application,114,0.0014869500567388837,9.393428093294062,11,NN
molding,112,0.0014608632136382015,9.4189631854012,7,NNP
development,111,0.0014478197920878605,9.431902241108698,11,NN
info,111,0.0014478197920878605,9.431902241108698,4,NN
specifications,110,0.0014347763705375193,9.444958393934145,14,NNS
lee,108,0.0014086895274368373,9.471430605295335,3,NNP
manufacturer,107,0.0013956461058864961,9.484851121057657,12,NN
bearings,104,0.001356515841235473,9.525878389317713,8,NNP
core,103,0.0013434724196851318,9.539817580275585,4,NN
form,103,0.0013434724196851318,9.539817580275585,4,NN
job,103,0.0013434724196851318,9.539817580275585,3,NN
general,100,0.0013043421550341086,9.58246191768408,7,NNP
click,100,0.0013043421550341086,9.58246191768408,5,NNP
markets,99,0.0012912987334837674,9.596961487379195,7,NNS
tooling,99,0.0012912987334837674,9.596961487379195,7,NN
heat,99,0.0012912987334837674,9.596961487379195,4,NN
project,99,0.0012912987334837674,9.596961487379195,7,NN
new,98,0.0012782553119334264,9.611608263343596,3,NNP
cost,97,0.0012652118903830852,9.626405265271677,4,NN
art,97,0.0012652118903830852,9.626405265271677,3,NN
management,97,0.0012652118903830852,9.626405265271677,10,NN
processes,97,0.0012652118903830852,9.626405265271677,9,NNS
delivery,96,0.0012521684688327442,9.641355606737648,8,NN
strength,96,0.0012521684688327442,9.641355606737648,8,NN
pressure,95,0.001239125047282403,9.656462499127857,8,NN
supplier,95,0.001239125047282403,9.656462499127857,8,NN
standards,95,0.001239125047282403,9.656462499127857,9,NNS
line,95,0.001239125047282403,9.656462499127857,4,NN
fax,95,0.001239125047282403,9.656462499127857,3,NNP
iso,94,0.001226081625732062,9.671729255781168,3,NNP
home,94,0.001226081625732062,9.671729255781168,4,NN
facilities,94,0.001226081625732062,9.671729255781168,10,NNS
size,94,0.001226081625732062,9.671729255781168,4,NN
clients,92,0.0011999947826313799,9.702756151401791,7,NNS
variety,91,0.0011869513610810389,9.718523467260107,7,NN
investment,91,0.0011869513610810389,9.718523467260107,10,NN
value,90,0.0011739079395306977,9.73446501112913,5,NN
companies,90,0.0011739079395306977,9.73446501112913,9,NNS
people,90,0.0011739079395306977,9.73446501112913,6,NNS
box,90,0.0011739079395306977,9.73446501112913,3,NNP
shop,89,0.0011608645179803567,9.750584676492407,4,NN
iron,88,0.0011478210964300155,9.766886488821507,4,NN
solution,88,0.0011478210964300155,9.766886488821507,8,NN
co,87,0.0011347776748796745,9.783374611610077,2,NNP
a,87,0.0011347776748796745,9.783374611610077,1,NNP
links,86,0.0011217342533293333,9.800053352756706,5,NNP
plating,86,0.0011217342533293333,9.800053352756706,7,NNP
call,85,0.0011086908317789923,9.816927171321103,4,NN
spartan,85,0.0011086908317789923,9.816927171321103,7,NNP
pattern,85,0.0011086908317789923,9.816927171321103,7,NN
voss,85,0.0011086908317789923,9.816927171321103,4,NNP
powder,84,0.0010956474102286511,9.834000684680044,6,NN
touch,83,0.0010826039886783101,9.85127867611188,5,NNP
titanium,83,0.0010826039886783101,9.85127867611188,8,NN
learn,80,0.0010434737240272867,9.904390012571442,5,NNP
resistance,80,0.0010434737240272867,9.904390012571442,10,NN
performance,79,0.0010304303024769458,9.922537359281701,11,NN
properties,79,0.0010304303024769458,9.922537359281701,10,NNS
water,79,0.0010304303024769458,9.922537359281701,5,NN
assembly,79,0.0010304303024769458,9.922537359281701,8,NN
pcc,79,0.0010304303024769458,9.922537359281701,3,NNP
artist,79,0.0010304303024769458,9.922537359281701,6,NNP
request,79,0.0010304303024769458,9.922537359281701,7,NNP
questions,78,0.0010173868809266046,9.940915888596557,9,NNS
finishing,78,0.0010173868809266046,9.940915888596557,9,NN
industrial,78,0.0010173868809266046,9.940915888596557,10,NNP
surface,78,0.0010173868809266046,9.940915888596557,7,NN
united,78,0.0010173868809266046,9.940915888596557,6,NNP
e,76,0.0009913000378259226,9.978390594015218,1,NN
expertise,76,0.0009913000378259226,9.978390594015218,9,NN
injection,76,0.0009913000378259226,9.978390594015218,9,NN
welding,76,0.0009913000378259226,9.978390594015218,7,NNP
conditions,75,0.0009782566162755814,9.997499416962924,10,NNS
tools,75,0.0009782566162755814,9.997499416962924,5,NNS
projects,73,0.0009521697731748992,10.036493548578788,8,NNS
radius,72,0.0009391263516245581,10.056393106016492,6,NNP
support,71,0.000926082930074217,10.076570987954122,7,NN
magnet,70,0.0009130395085238759,10.097035090513838,6,NN
leech,70,0.0009130395085238759,10.097035090513838,5,NNP
employees,70,0.0009130395085238759,10.097035090513838,9,NNS
weights,70,0.0009130395085238759,10.097035090513838,7,NNP
t,69,0.000899996086973535,10.117793650680635,1,NN
keech,68,0.0008869526654231939,10.138855266208465,5,NNP
leader,68,0.0008869526654231939,10.138855266208465,6,NN
plastic,67,0.0008739092438728528,10.160228917001032,7,NNP
automotive,67,0.0008739092438728528,10.160228917001032,10,NNP
gas,67,0.0008739092438728528,10.160228917001032,3,NN
hours,67,0.0008739092438728528,10.160228917001032,5,NNS
type,66,0.0008608658223225117,10.181923988100351,4,NN
plant,66,0.0008608658223225117,10.181923988100351,5,NN
door,65,0.0008478224007721706,10.20395029443035,4,NNP
life,65,0.0008478224007721706,10.20395029443035,4,NN
location,65,0.0008478224007721706,10.20395029443035,8,NN
st,65,0.0008478224007721706,10.20395029443035,2,NNP
tennetek,65,0.0008478224007721706,10.20395029443035,8,NNP
lead,65,0.0008478224007721706,10.20395029443035,4,NN
number,64,0.0008347789792218295,10.226318107458804,6,NN
street,64,0.0008347789792218295,10.226318107458804,6,NNP
to,64,0.0008347789792218295,10.226318107458804,2,NNP
corrosion,63,0.0008217355576714884,10.249038183958888,9,NN
commitment,63,0.0008217355576714884,10.249038183958888,10,NN
o,63,0.0008217355576714884,10.249038183958888,1,NN
more,63,0.0008217355576714884,10.249038183958888,4,NNP
staff,63,0.0008217355576714884,10.249038183958888,5,NN
weight,63,0.0008217355576714884,10.249038183958888,6,NN
road,62,0.0008086921361211473,10.272121797071929,4,NNP
access,62,0.0008086921361211473,10.272121797071929,6,NN
capacity,61,0.0007956487145708062,10.295580769895919,8,NN
and,60,0.0007826052930204651,10.319427511850286,3,NNP
city,59,0.000769561871470124,10.343675058096963,4,NNP
manufacturers,59,0.000769561871470124,10.343675058096963,13,NNS
times,58,0.0007565184499197829,10.368337112331233,5,NNS
ability,58,0.0007565184499197829,10.368337112331233,7,NN
free,58,0.0007565184499197829,10.368337112331233,4,NNP
rings,57,0.0007434750283694418,10.393428093294062,5,NNS
james,57,0.0007434750283694418,10.393428093294062,5,NNP
jobs,57,0.0007434750283694418,10.393428093294062,4,NNP
all,57,0.0007434750283694418,10.393428093294062,3,NNP
types,57,0.0007434750283694418,10.393428093294062,5,NNS
power,57,0.0007434750283694418,10.393428093294062,5,NN
quick,57,0.0007434750283694418,10.393428093294062,5,NNP
manager,56,0.0007304316068191007,10.4189631854012,7,NNP
specialty,56,0.0007304316068191007,10.4189631854012,9,NN
options,56,0.0007304316068191007,10.4189631854012,7,NNS
standard,56,0.0007304316068191007,10.4189631854012,8,NN
view,56,0.0007304316068191007,10.4189631854012,4,NNP
tolerances,56,0.0007304316068191007,10.4189631854012,10,NNS
mining,55,0.0007173881852687597,10.444958393934145,6,NN
maintenance,55,0.0007173881852687597,10.444958393934145,11,NN
toolcraft,55,0.0007173881852687597,10.444958393934145,9,NNP
safety,55,0.0007173881852687597,10.444958393934145,6,NN
right,55,0.0007173881852687597,10.444958393934145,5,NNP
high,55,0.0007173881852687597,10.444958393934145,4,NNP
stock,54,0.0007043447637184187,10.471430605295335,5,NN
gibbs,54,0.0007043447637184187,10.471430605295335,5,NNP
division,54,0.0007043447637184187,10.471430605295335,8,NNP
level,54,0.0007043447637184187,10.471430605295335,5,NN
lbs,54,0.0007043447637184187,10.471430605295335,3,NN
state,54,0.0007043447637184187,10.471430605295335,5,NN
expectations,54,0.0007043447637184187,10.471430605295335,12,NNS
valves,53,0.0006913013421680776,10.498397652895605,6,NNS
comments,53,0.0006913013421680776,10.498397652895605,8,NNS
family,53,0.0006913013421680776,10.498397652895605,6,NN
energy,53,0.0006913013421680776,10.498397652895605,6,NN
processing,53,0.0006913013421680776,10.498397652895605,10,NN
gallery,53,0.0006913013421680776,10.498397652895605,7,NNP
items,52,0.0006782579206177365,10.525878389317713,5,NNS
assemblies,52,0.0006782579206177365,10.525878389317713,10,NNS
addition,52,0.0006782579206177365,10.525878389317713,8,NN
finish,52,0.0006782579206177365,10.525878389317713,6,NN
base,52,0.0006782579206177365,10.525878389317713,4,NN
drone,52,0.0006782579206177365,10.525878389317713,5,NN
jones,52,0.0006782579206177365,10.525878389317713,5,NNP
department,51,0.0006652144990673954,10.553892765487308,10,NN
price,51,0.0006652144990673954,10.553892765487308,5,NN
south,51,0.0006652144990673954,10.553892765487308,5,NNP
nickel,51,0.0006652144990673954,10.553892765487308,6,NNP
resources,51,0.0006652144990673954,10.553892765487308,9,NNS
shell,51,0.0006652144990673954,10.553892765487308,5,NN
llc,51,0.0006652144990673954,10.553892765487308,3,NNP
aisin,50,0.0006521710775170543,10.58246191768408,5,NNP
experts,50,0.0006521710775170543,10.58246191768408,7,NNS
hiler,50,0.0006521710775170543,10.58246191768408,5,NNP
coppell,50,0.0006521710775170543,10.58246191768408,7,NNP
pounds,50,0.0006521710775170543,10.58246191768408,6,NNS
wire,50,0.0006521710775170543,10.58246191768408,4,NNP
foundries,49,0.0006391276559667132,10.611608263343596,9,NNS
light,49,0.0006391276559667132,10.611608263343596,5,NNP
fittings,49,0.0006391276559667132,10.611608263343596,8,NNS
security,49,0.0006391276559667132,10.611608263343596,8,NN
day,49,0.0006391276559667132,10.611608263343596,3,NN
papila,48,0.0006260842344163721,10.641355606737648,6,NNP
stahl,48,0.0006260842344163721,10.641355606737648,5,NNP
inspection,48,0.0006260842344163721,10.641355606737648,10,NN
tennessee,48,0.0006260842344163721,10.641355606737648,9,NNP
operation,48,0.0006260842344163721,10.641355606737648,9,NN
innovation,48,0.0006260842344163721,10.641355606737648,10,NN
results,48,0.0006260842344163721,10.641355606737648,7,NNS
engine,48,0.0006260842344163721,10.641355606737648,6,NN
aviation,48,0.0006260842344163721,10.641355606737648,8,NN
link,48,0.0006260842344163721,10.641355606737648,4,NN
construction,48,0.0006260842344163721,10.641355606737648,12,NN
page,47,0.000613040812866031,10.671729255781168,4,NN
need,47,0.000613040812866031,10.671729255781168,4,NN
success,47,0.000613040812866031,10.671729255781168,7,NN
pricing,47,0.000613040812866031,10.671729255781168,7,NN
magnesium,47,0.000613040812866031,10.671729255781168,9,NN
ohio,47,0.000613040812866031,10.671729255781168,4,NNP
suppliers,47,0.000613040812866031,10.671729255781168,9,NNS
grinding,47,0.000613040812866031,10.671729255781168,8,NNP
supply,47,0.000613040812866031,10.671729255781168,6,NN
oil,47,0.000613040812866031,10.671729255781168,3,NN
mission,47,0.000613040812866031,10.671729255781168,7,NN
content,47,0.000613040812866031,10.671729255781168,7,NN
usa,47,0.000613040812866031,10.671729255781168,3,NNP
permanent,46,0.0005999973913156899,10.702756151401791,9,NNP
calumet,46,0.0005999973913156899,10.702756151401791,7,NNP
partners,46,0.0005999973913156899,10.702756151401791,8,NNS
efficiency,46,0.0005999973913156899,10.702756151401791,10,NN
houston,46,0.0005999973913156899,10.702756151401791,7,NNP
vacuum,46,0.0005999973913156899,10.702756151401791,6,NNP
bar,46,0.0005999973913156899,10.702756151401791,3,NN
milling,46,0.0005999973913156899,10.702756151401791,7,NNP
map,45,0.0005869539697653488,10.73446501112913,3,NNP
designs,45,0.0005869539697653488,10.73446501112913,7,NNS
component,45,0.0005869539697653488,10.73446501112913,9,NN
north,45,0.0005869539697653488,10.73446501112913,5,NNP
manufacture,45,0.0005869539697653488,10.73446501112913,11,NN
technical,45,0.0005869539697653488,10.73446501112913,9,NNP
aluminium,45,0.0005869539697653488,10.73446501112913,9,NNP
shultz,45,0.0005869539697653488,10.73446501112913,6,NNP
titan,45,0.0005869539697653488,10.73446501112913,5,NNP
areas,45,0.0005869539697653488,10.73446501112913,5,NNS
environment,45,0.0005869539697653488,10.73446501112913,11,NN
market,44,0.0005739105482150077,10.766886488821507,6,NN
australian,44,0.0005739105482150077,10.766886488821507,10,NNP
states,44,0.0005739105482150077,10.766886488821507,6,NNPS
au,44,0.0005739105482150077,10.766886488821507,2,NN
shapes,44,0.0005739105482150077,10.766886488821507,6,NNS
molds,44,0.0005739105482150077,10.766886488821507,5,NNS
treatment,44,0.0005739105482150077,10.766886488821507,9,NN
employment,44,0.0005739105482150077,10.766886488821507,10,NN
below,44,0.0005739105482150077,10.766886488821507,5,NNP
way,44,0.0005739105482150077,10.766886488821507,3,NN
sites,44,0.0005739105482150077,10.766886488821507,5,NNS
wax,43,0.0005608671266646667,10.800053352756706,3,NN
slew,43,0.0005608671266646667,10.800053352756706,4,NNP
hadronics,43,0.0005608671266646667,10.800053352756706,9,NNP
purchase,43,0.0005608671266646667,10.800053352756706,8,NN
mi,43,0.0005608671266646667,10.800053352756706,2,NNP
patterns,42,0.0005478237051143256,10.834000684680044,8,NNS
purity,42,0.0005478237051143256,10.834000684680044,6,NNP
corp,42,0.0005478237051143256,10.834000684680044,4,NNP
tx,42,0.0005478237051143256,10.834000684680044,2,NNP
fabrication,42,0.0005478237051143256,10.834000684680044,11,NN
serving,42,0.0005478237051143256,10.834000684680044,7,NNP
certified,42,0.0005478237051143256,10.834000684680044,9,NNP
the,42,0.0005478237051143256,10.834000684680044,3,NNP
your,42,0.0005478237051143256,10.834000684680044,4,NNP
technologies,42,0.0005478237051143256,10.834000684680044,12,NNS
volume,41,0.0005347802835639845,10.86876610284072,6,NN
days,41,0.0005347802835639845,10.86876610284072,4,NNS
defense,41,0.0005347802835639845,10.86876610284072,7,NN
temperature,41,0.0005347802835639845,10.86876610284072,11,NN
specification,41,0.0005347802835639845,10.86876610284072,13,NNP
marketing,41,0.0005347802835639845,10.86876610284072,9,NN
green,41,0.0005347802835639845,10.86876610284072,5,NNP
x,41,0.0005347802835639845,10.86876610284072,1,NN
sizes,41,0.0005347802835639845,10.86876610284072,5,NNS
vision,41,0.0005347802835639845,10.86876610284072,6,NN
advantages,41,0.0005347802835639845,10.86876610284072,10,NNS
class,41,0.0005347802835639845,10.86876610284072,5,NNP
history,41,0.0005347802835639845,10.86876610284072,7,NN
step,41,0.0005347802835639845,10.86876610284072,4,NN
catalog,41,0.0005347802835639845,10.86876610284072,7,NNP
wfmutah,40,0.0005217368620136434,10.904390012571442,7,NNP
air,40,0.0005217368620136434,10.904390012571442,3,NN
choice,40,0.0005217368620136434,10.904390012571442,6,NN
bushings,40,0.0005217368620136434,10.904390012571442,8,NNS
benefits,40,0.0005217368620136434,10.904390012571442,8,NNS
certifications,40,0.0005217368620136434,10.904390012571442,14,NNP
pipe,40,0.0005217368620136434,10.904390012571442,4,NN
stainless,40,0.0005217368620136434,10.904390012571442,9,NNP
group,40,0.0005217368620136434,10.904390012571442,5,NN
works,40,0.0005217368620136434,10.904390012571442,5,NNP
testing,40,0.0005217368620136434,10.904390012571442,7,NN
news,39,0.0005086934404633023,10.940915888596557,4,NNP
engineers,39,0.0005086934404633023,10.940915888596557,9,NNS
computer,39,0.0005086934404633023,10.940915888596557,8,NN
taylor,39,0.0005086934404633023,10.940915888596557,6,NNP
protection,39,0.0005086934404633023,10.940915888596557,10,NN
making,39,0.0005086934404633023,10.940915888596557,6,NNP
year,39,0.0005086934404633023,10.940915888596557,4,NN
center,39,0.0005086934404633023,10.940915888596557,6,NNP
forgings,38,0.0004956500189129613,10.978390594015218,8,NNS
bag,38,0.0004956500189129613,10.978390594015218,3,NN
follow,38,0.0004956500189129613,10.978390594015218,6,NNP
space,38,0.0004956500189129613,10.978390594015218,5,NN
clark,38,0.0004956500189129613,10.978390594015218,5,NNP
categories,38,0.0004956500189129613,10.978390594015218,10,NNPS
century,38,0.0004956500189129613,10.978390594015218,7,NNP
building,38,0.0004956500189129613,10.978390594015218,8,NN
source,38,0.0004956500189129613,10.978390594015218,6,NN
c,38,0.0004956500189129613,10.978390594015218,1,NNP
prototype,37,0.00048260659736262015,11.016864741829854,9,NN
opportunity,37,0.00048260659736262015,11.016864741829854,11,NN
advantage,37,0.00048260659736262015,11.016864741829854,9,NN
in,37,0.00048260659736262015,11.016864741829854,2,NNP
list,37,0.00048260659736262015,11.016864741829854,4,NN
u,37,0.00048260659736262015,11.016864741829854,1,NNP
browser,37,0.00048260659736262015,11.016864741829854,7,NN
our,37,0.00048260659736262015,11.016864741829854,3,NNP
series,37,0.00048260659736262015,11.016864741829854,6,NNP
wolverine,37,0.00048260659736262015,11.016864741829854,9,NNP
program,37,0.00048260659736262015,11.016864741829854,7,NN
goodridge,36,0.00046956317581227906,11.056393106016492,9,NNP
uk,36,0.00046956317581227906,11.056393106016492,2,NNP
csi,36,0.00046956317581227906,11.056393106016492,3,NNP
house,36,0.00046956317581227906,11.056393106016492,5,NN
ontario,36,0.00046956317581227906,11.056393106016492,7,NNP
d,36,0.00046956317581227906,11.056393106016492,1,NNP
we,36,0.00046956317581227906,11.056393106016492,2,NNP
pages,35,0.00045651975426193797,11.097035090513838,5,NNS
client,35,0.00045651975426193797,11.097035090513838,6,NN
gravity,35,0.00045651975426193797,11.097035090513838,7,NNP
coating,35,0.00045651975426193797,11.097035090513838,7,NNP
ca,35,0.00045651975426193797,11.097035090513838,2,NNP
dart,35,0.00045651975426193797,11.097035090513838,4,NNP
approach,35,0.00045651975426193797,11.097035090513838,8,NN
office,35,0.00045651975426193797,11.097035090513838,6,NN
stamping,35,0.00045651975426193797,11.097035090513838,8,NNP
area,35,0.00045651975426193797,11.097035090513838,4,NN
tin,35,0.00045651975426193797,11.097035090513838,3,NNP
mexico,35,0.00045651975426193797,11.097035090513838,6,NNP
improvement,35,0.00045651975426193797,11.097035090513838,11,NN
finishes,35,0.00045651975426193797,11.097035090513838,8,NNS
message,34,0.00044347633271159693,11.138855266208465,7,NN
milwaukee,34,0.00044347633271159693,11.138855266208465,9,NNP
model,34,0.00044347633271159693,11.138855266208465,5,NNP
manitoba,34,0.00044347633271159693,11.138855266208465,8,NNP
costs,34,0.00044347633271159693,11.138855266208465,5,NNS
goal,34,0.00044347633271159693,11.138855266208465,4,NN
navigation,34,0.00044347633271159693,11.138855266208465,10,NNP
pdf,34,0.00044347633271159693,11.138855266208465,3,NNP
front,34,0.00044347633271159693,11.138855266208465,5,NNP
media,34,0.00044347633271159693,11.138855266208465,5,NNP
changes,34,0.00044347633271159693,11.138855266208465,7,NNS
members,34,0.00044347633271159693,11.138855266208465,7,NNS
problem,33,0.00043043291116125584,11.181923988100351,7,NN
of,33,0.00043043291116125584,11.181923988100351,2,NNP
anode,33,0.00043043291116125584,11.181923988100351,5,NN
president,33,0.00043043291116125584,11.181923988100351,9,NNP
newsletter,33,0.00043043291116125584,11.181923988100351,10,NNP
francismfg,33,0.00043043291116125584,11.181923988100351,10,NN
knowledge,33,0.00043043291116125584,11.181923988100351,9,NN
airport,33,0.00043043291116125584,11.181923988100351,7,NN
rail,33,0.00043043291116125584,11.181923988100351,4,NNP
methods,33,0.00043043291116125584,11.181923988100351,7,NNS
diameter,33,0.00043043291116125584,11.181923988100351,8,NN
francis,33,0.00043043291116125584,11.181923988100351,7,NNP
canada,33,0.00043043291116125584,11.181923988100351,6,NNP
federal,33,0.00043043291116125584,11.181923988100351,7,NNP
prima,33,0.00043043291116125584,11.181923988100351,5,NNP
partner,33,0.00043043291116125584,11.181923988100351,7,NN
end,33,0.00043043291116125584,11.181923988100351,3,NN
file,32,0.00041738948961091474,11.226318107458804,4,NN
stone,32,0.00041738948961091474,11.226318107458804,5,NN
welcome,32,0.00041738948961091474,11.226318107458804,7,NNP
repair,32,0.00041738948961091474,11.226318107458804,6,NN
pa,32,0.00041738948961091474,11.226318107458804,2,NNP
westport,32,0.00041738948961091474,11.226318107458804,8,NNP
windows,32,0.00041738948961091474,11.226318107458804,7,NNP
lines,32,0.00041738948961091474,11.226318107458804,5,NNS
lamothermic,32,0.00041738948961091474,11.226318107458804,11,NNP
overview,32,0.00041738948961091474,11.226318107458804,8,NNP
plate,32,0.00041738948961091474,11.226318107458804,5,NNP
hardware,32,0.00041738948961091474,11.226318107458804,8,NN
wi,32,0.00041738948961091474,11.226318107458804,2,NNP
directions,32,0.00041738948961091474,11.226318107458804,10,NNP
problems,32,0.00041738948961091474,11.226318107458804,8,NNS
sc,32,0.00041738948961091474,11.226318107458804,2,NNP
suite,32,0.00041738948961091474,11.226318107458804,5,NNP
password,31,0.00040434606806057365,11.272121797071929,8,NN
posts,31,0.00040434606806057365,11.272121797071929,5,NNS
america,31,0.00040434606806057365,11.272121797071929,7,NNP
others,31,0.00040434606806057365,11.272121797071929,6,NNS
machinery,31,0.00040434606806057365,11.272121797071929,9,NN
oh,31,0.00040434606806057365,11.272121797071929,2,NNP
single,31,0.00040434606806057365,11.272121797071929,6,NNP
satisfaction,31,0.00040434606806057365,11.272121797071929,12,NN
characteristics,31,0.00040434606806057365,11.272121797071929,15,NNS
drive,31,0.00040434606806057365,11.272121797071929,5,NNP
note,31,0.00040434606806057365,11.272121797071929,4,NN
chemical,31,0.00040434606806057365,11.272121797071929,8,NNP
stegman,31,0.00040434606806057365,11.272121797071929,7,NNP
orders,31,0.00040434606806057365,11.272121797071929,6,NNS
detail,31,0.00040434606806057365,11.272121797071929,6,NN
treating,31,0.00040434606806057365,11.272121797071929,8,NN
chicago,30,0.00039130264651023256,11.319427511850286,7,NNP
international,30,0.00039130264651023256,11.319427511850286,13,NNP
shape,30,0.00039130264651023256,11.319427511850286,5,NN
download,30,0.00039130264651023256,11.319427511850286,8,NNP
b,30,0.00039130264651023256,11.319427511850286,1,NNP
pass,30,0.00039130264651023256,11.319427511850286,4,NNP
hand,30,0.00039130264651023256,11.319427511850286,4,NN
speed,30,0.00039130264651023256,11.319427511850286,5,NN
bythomas,30,0.00039130264651023256,11.319427511850286,8,NN
integrity,30,0.00039130264651023256,11.319427511850286,9,NN
features,30,0.00039130264651023256,11.319427511850286,8,NNS
versa,30,0.00039130264651023256,11.319427511850286,5,NNP
p,30,0.00039130264651023256,11.319427511850286,1,NNP
