company_id,link_num,text,characters
33,3,"Electrical Systems Direct AeroSystems is an Electro-Mechanical manufacturer to the Aerospace Industry. Our complete In-house electro-mechanical manufacturing services ensure your project moves smoothly from proto type to integration and into production. We offer an extensive selection of value added products and services such as: Key Products & Services: Installation Kits Direct AeroSystems delivers kitting solutions that assemble parts and equipment needs for your custom project. Integrated program management allows us to become fully entrenched in your program, from the initial stages of development to production. Our pre-production and support staff work with program and project managers to ensure each customer’s installation design and build requirements are met. With successful management of the supply chain we offer complete top-level installation kit packages as well as the capabilities to deliver to the final assembly line. Our Goal is to optimize the installation with quality products that meet your unique needs. Electrical Equipment Production Equipment Testing Equipment Placard and Decal Production © Copyright© 2017 Direct AeroSystems, Inc. All Rights Reserved ",1190
33,4,"Quality As an AS9100D and ISO-9001 certified supplier to the aerospace industry, quality acts as the foundation for everything we do and produce. Direct Aerosystems utilizes the most sophisticated measuring and test equipment to assure our products meet or exceed your specification. Our quality control team at Direct AeroSystems provides a personal and responsive approach for: Direct AeroSystems uses Net-Inspect FAI data base which increases efficiency with FAI planning and FAI results with our customers.  Plans and results are uploaded automatically reducing errors and significantly reducing the time required to complete the process. Our quality planning systems include:    © Copyright© 2017 Direct AeroSystems, Inc. All Rights Reserved ",747
33,5,"Terms of Use © Copyright© 2017 Direct AeroSystems, Inc. All Rights Reserved ",76
34,0,"  Engineering Excellence in Zinc Die Cast Manufacturing Lakeside Casting Solutions is a full-service zinc die casting company, dedicated to reducing your costs and improving the quality of your components Call us today! 573-735-2426 At LCS, we specialize in providing high-quality, customized zinc die castings for a wide range of industries. We produce components of all sizes and complexities, from mere half-grams to more than two pounds. Our expertise and experience in manufacturing parts for various industries allows us to design components to be more efficient and cost-effective. We are an industry-leading zinc die casting provider, committed to providing the highest quality, most reliable products and services. Committed to Quality Lakeside Casting Solutions is committed to meet or exceed all expectations by providing the highest quality products. We will provide our customers and associates with the best possible relationship through mutual respect. Our success is based on continuously improving our products, processes, and associates.  Industries Served Zinc Die Cast Specialists Zinc is a widely popular material in metalworking, boasting 60% of the strength of steel and thin wall capabilities, allowing for zero draft casting and net shaping. Tooling made for zinc casting offers up to 10 times more life expectancy than other casting materials. ROHS Compliant|REACH Compliant|Conflict Minerals Compliant|IMDS Compliant ISO 9001 Certified|NADCA CORPORATE MEMBER HomeABOUTNEWSMEDIATradeshow Schedule Copyright © 2020 Lakeside Casting Solutions, LLC ",1572
34,1," The Lakeside Team LCS Team, 12-9-2022 Lakeside Casting Solutions was founded in 2002 by five individuals with a combined 150 years of experience in the design and production of zinc castings. Utilizing their unique skill set, the team was able to design and implement proprietary multi-slide die cast machines. We have since significantly expanded our operations and facilities to meet the ever-growing demand for high-quality zinc castings. We at LCS have been consistently growing and expanding our services, focusing on the future. Our services include insert castings, internal cast threads, secondary operations and assemblies, plating & coatings, as well as a complete onsite tool shop offering focused design assistance and efficient options for our customers' Zinc component needs. We have established strong partnerships with companies seeking the highest quality professional services for their Zinc component needs. As we continue to grow, our commitment to providing the best service and solutions remains unwavering. Lakeside Casting is a leader in zinc die casting, combining expertise, value, communication, and agility to form lasting partnerships with our customers. We understand the competitive pressures our customers face and leverage our resources to provide tailored solutions. From the initial NDA to final production, our partnerships are built on trust and quality assurance. Our commitment to quality control ensures that critical specifications are monitored and maintained, ensuring our customers receive the highest-quality products. With our comprehensive approach, Lakeside Casting is the go-to choice for zinc die castings. HomeABOUTNEWSMEDIATradeshow Schedule Copyright © 2020 Lakeside Casting Solutions, LLC ",1744
34,2," Multi-Slide Die Casting Proprietary fIVE-slide zinc die casting technology The Lakeside Casting Experience At Lakeside Casting, we stay ahead of the curve with our state-of-the-art multi-slide die casting process. Our business has been fully operational for nearly 20 years, providing reassurance all our work is of the highest quality. The team alone carries more than 150 years of experience in the zinc casting industry. As engineering procedures continue to evolve, it is important to stay up to date with the latest advancements in technology. At Lakeside Casting, we are constantly updating the way we create and design products. We made it our number one priority to manufacture shapes, molds, and objects of all kinds at a much quicker pace while retaining preciseness. Hence, our multi-slide die casting machines. Our Five-Slide Technology Equipment Advantages Our Proprietary five-slide zinc die casting machines are driven by cutting-edge programmable automation controllers. Our high-availability systems allow us to increase efficiency and reduce downtime, ensuring high-quality parts are delivered on time. Our five-slide zinc die casting technology provides you with greater design freedom. Unlike conventional die cast machines, ours are capable of pulling a mold from the castings from five directions and are designed for casting miniature components with speed and precision. With our multi-slide die casting equipment, we can quickly, accurately, and effectively cast designs at maximum efficiency. Our multi-slide methods are the best die casting solution for smaller, intricate parts. We are able to create a multitude of sophisticated shapes, eliminating the need to incorporate secondary operations. We are also able to fill more machines without the heavy flash. Our multi-slide equipment allows us to manufacture more parts in larger quantities while being able to maintain the highest possible standard. From the initial design stage to final production, our team is here to support you all the way through. We always provide our clients with the solutions necessary to meet their demands. Five-Slide Technology In Action For more information on our multi-slide die casting procedure, call us today at573-735-2426.  Five-slide technology in action HomeABOUTNEWSMEDIATradeshow Schedule Copyright © 2020 Lakeside Casting Solutions, LLC ",2362
34,3," Lakeside Casting Quality For each die cast project, we work together with our customers to develop a customized quality system. The system ensures that design requirements are met, product specifications are maintained and castings are fully traceable. OGP Smartscope Flash 500 With our OGP Smart-scope vision system, we quickly and accurately measure many different features, including features that may be too small to measure with a touch probe. We also have the capability to measure multiple parts at once. Our Mitutoyo Coordinate Measuring Machine allows incredibly precise measurement of our manufactured components. Our SpectroMAXx stationary metal analyzer allows us to perform optical wavelength based analysis of our certified zinc alloys to ensure that we use only high-quality alloys that meet ASTM (B86, B240) zinc standards. Our Mitutoyo PH-3500 Optical Comparator with attached 2D Data processor allows us to perform quick and accurate optical checks for features such as thread pitch. HomeABOUTNEWSMEDIATradeshow Schedule Copyright © 2020 Lakeside Casting Solutions, LLC ",1089
34,4," Application of Casting in Automobile Industry As technology is ever-evolving, finding quicker, faster, and more cost-efficient ways to manufacture parts is an absolute necessity. Here, we will discuss the applications of casting in the automobile industry and cover the benefits of using zinc die casting. Benefits of Casting Automobile Parts The most common application for zinc die casting occurs in the auto industry. In fact, the idea behind die casting was originally created for automobiles. Since vehicles require complex shapes and sizes for different parts of the vehicle, it is almost mandatory to use zinc die casting. Due to the precise accuracy of this process, the need for further machining is practically non-existent. This alone saves an exuberant amount of time and money for the manufacturing of automobile parts. One can typically use zinc for retractor gears, seat belt pulleys, and camshafts, as well as a multitude of other parts on most vehicles. This amazing metal provides strength, flexibility, and malleability that you cannot match with other materials. Zinc has a lowering melting point, allowing for less energy during production. Different Casting Components for Automobiles As previously mentioned, vehicle manufacturing is the most common use for the application of casting in the automobile industry. Zinc die casting is able to produce an aesthetic appearance while providing the capabilities of creating unique shapes with a high durability tolerance. Zinc alloy carries high anti-corrosive properties, making it the ideal element for the automobile industry. Here is a list of some of the parts that you can manufacture using this process: Parts for Sunroofs Chassis Parts Transmission Components Vehicle Interior Components Air-Conditioning Systems Engine Parts Brake Systems and Hardware Power Steering Systems Fuel Intake Parts Other Mechanical Parts And More… Contact The Professionals Get your business running at full capacity by contacting the number 1 casting company. To learn more about the different applications of casting in the automobile industry and how it can benefit your business, call the professionals today at573-735-2426. HomeABOUTNEWSMEDIATradeshow Schedule Copyright © 2020 Lakeside Casting Solutions, LLC ",2270
34,5," Contact Call or Visit #2 Lakeside DriveMonroe City, MO 63456(573) 735-2426Email:Sales@LakesideCasting.com﻿ HomeABOUTNEWSMEDIATradeshow Schedule Copyright © 2020 Lakeside Casting Solutions, LLC ",194
34,6," Lakeside Casting Solutions 2023 Trade Show Schedule Adam Yager, one of Lakeside’s engineers, at the Greater Chicago Design2Part show 2019 Jan. 16-20 Shot Show Las Vegas, NV March 1-2 D2P Arlington, TX March 29-30 Design2Part Atlanta, GA April 26-27 Design2Part Secaucus, NJ May 17-18 Design2Part Schaumburg, IL June 14-15 Design2Part Detroit, MI     HomeABOUTNEWSMEDIATradeshow Schedule Copyright © 2020 Lakeside Casting Solutions, LLC ",437
49,0,"The Heavy Metal Company Limited has been casting and engineering metal in Wellington since 1999, undertaking creative projects of all sizes for the New Zealand art and design industries. Heavy Metal incorporates a traditional metal casting foundry and workshop, artist gallery and precision grinding and sharpening service under one roof.Founded in 1999 by Master Foundryman and Sculptor Brett Rangitaawa, and Product Designer Jen Waterson, Heavy Metal has established itself as one of New Zealand's leading metal workshops, specialising in large and complex casting, metal conservation, restoration and repair. Heavy Metal incorporates a traditional metal casting foundry and workshop, artist gallery and precision grinding and sharpening service under one roof. Founded in 1999 by Master Foundryman and Sculptor Brett Rangitaawa, and Product Designer Jen Waterson, Heavy Metal has established itself as one of New Zealand's leading metal workshops, specialising in large and complex casting, metal conservation, restoration and repair. Our onsite galleryThe Foundryshowcases metal art and object designed and crafted at Heavy Metal; and offers a selection of Maoriana, vintage, retro and industrial collectables, jewellery and curiosity.In 2016, Heavy Metal acquired and relocated PG2000 - an established machine and saw shop.  PG2000 offers a precision grinding and sharpening service for tools, cutters and blades; and stocks a comprehensive range of Linbide TCT Tools and Saws, Stark HSS and Jiffy Saws and Starret Hole Saws. Our onsite galleryThe Foundryshowcases metal art and object designed and crafted at Heavy Metal; and offers a selection of Maoriana, vintage, retro and industrial collectables, jewellery and curiosity. In 2016, Heavy Metal acquired and relocated PG2000 - an established machine and saw shop.  PG2000 offers a precision grinding and sharpening service for tools, cutters and blades; and stocks a comprehensive range of Linbide TCT Tools and Saws, Stark HSS and Jiffy Saws and Starret Hole Saws. We work with Councils, Government and Professional Creatives in all aspects of metal, manufacture and maintenance. Kopu Bridge Teko Teko, NZTA, 2011, Thames New Zealand We work with Councils, Government and Professional Creatives in all aspects ofmetal manufacture and maintenance. Kopu Bridge Teko Teko, NZTA, 2011, Thames NZ T H E   H E A V Y   M E T A L   C O .Heavy Metal works closely with creatives from all design principals to undertake projects of all sizes.  From fine art through to 20 tonne bronze memorials, we have the know how and experience to manufacture all of your metal requirements.  Our onsite services include: - Metal Workshop and Foundry- Studio and Artist Gallery- Sand and Lost Wax Casting- Brass, Bronze, Aluminium and Copper Melting- Polishing, Welding and Finishing- Metal Restoration and Repair- Architectural Casting- Mould Making and Tool Making- Conservation and Preservation- Sandblasting and Shotblasting- Traditional Foundry Patternmaking- Product Design - Concept to Completion- Art Casting and Specialised Patination- Bronze Plaques, Monuments and Memorials- Precision Grinding and Sharpening TheHeavyMetalCo. Heavy Metal works closely with creatives from all design principals to undertake projects of all sizes.  From fine art through to 20 tonne bronze memorials, we have the know how and experience to manufacture all of your metal requirements.  Our onsite services include: - Metal Workshop and Foundry- Studio and Artist Gallery- Sand and Lost Wax Casting- Brass Melting- Bronze Melting- Aluminium Melting- Copper Melting- Polishing- Welding and Finishing- Metal Restoration and Repair- Architectural Casting- Mould Making and Tool Making- Conservation and Preservation- Sandblasting and Shotblasting- Traditional Foundry Patternmaking- Product Design - Concept to Completion- Art Casting and Specialised Patination- Bronze Plaques- Monuments and Memorials- Precision Grinding and Sharpening ""In simplified terms, a foundry is a factory where castings are produced by melting metal, pouring liquid metal into a mould, then allowing it to solidify"" ""In simplified terms, a foundry is a factory where castings are produced by melting metal, pouring liquid metal into a mould, then allowing it to solidify"" Brett RangitaawaMaster Foundryman Brass, Bronze, Aluminium & Copper Casting With over 30 years metal casting experience, we can pretty much cast anything at any size: - Brass, Bronze, Aluminium and Copper melting- Metal Art and Sculpture- Aluminium Plastic Rotational Moulding Tools- Architectural Fitments and Building Facades- Furniture and Ornamental Casting- Bronze Plaques, Memorials and Monuments- Marine and Agricultural Equipment- Pump and Valve Casting- Mining and Robotics Equipment- Transportation and Defence Componentry- Oil, Gas and Renewable Energy Product BrassBronzeAluminium &Copper Casting With over 30 years metal casting experience, we can pretty much cast anything at any size: Tripod for Weta Workshop2015 Courteney PlaceWellington City The foundry GalleryExhibitionsPopupsColabs The Foundry Gallery is located onsite and showcases the comprehensive range of metal art and object designed and crafted by Brett Rangitaawa and Jen Waterson, and other established Wellington metal brands and artists. The Foundry also offers a selection of jewellery, collectables and curiosity. - Bronze Art and Sculpture- Maori Art- Vintage Maoriana and Kiwiana- Jewellery and Curiosity- Retro- Industrial- Vintage- Modernist Collectables- Metalogy - Architectural Casting The limit is the imagination If it's cast in metal, we can assist you with every part of the design and manufacture process. Southern Stand - The NZ War Memorial, Paul Dibble, 2006, Hyde Park London Metal Restoration & Repair Heavy Metal provides a full restoration and repair service for the ongoing protection of new and existing metalworks. We have extensive experience restoring, conserving and preserving all types of metalwork including fine art, public memorials and artworks, architectural castings, building facades and vintage antiques and collectables. John Godley Sculpture ConservationChristchurch City, 2014 The limit is the imagination If it's cast in metal, we can assist you with every part of the design and manufacture process. Southern Stand - The NZ War Memorial, Paul Dibble, 2006, Hyde Park London PG2000PrecisionGrinding In 2016, Heavy Metal acquired and relocated PG2000 - an established machine and saw shop, that has been servicing the Wellington region for over 30 years. PG2000 PG2000 sharpen, repair and manufacture tools, cutters and blades; and stock a large range of Linbide, Starrett and Stark blades and router bits: - HSS Cut-Off Saws- Rotor Broaches + Router Bits- Tungsten + Carbide Tipped Tools- Grooving Saws + Bandsaws- Chisels, Handsaws + Garden Tools- Guillotine + Planer Blades- Profile Knives + Chipper Blades- Dieset Pins + Bushes, Drills- Spindle Moulders + Cutters- Starrett Holesaws + Tools- Linbide TCT Tools + Saws- Stark HSS + Jiffy Saws Metal Restoration & Repair Heavy Metal provides a full restoration and repair service for the ongoing protection of new and existing metalworks.We have extensive experience restoring, conserving and preserving all types of metalwork including fine art, public memorials and artworks, architectural castings, building facades and vintage antiques and collectables. The foundry GalleryPopups, Colabs The Foundry Gallery is located onsite and showcases the comprehensive range of metal art and object designed and crafted by Brett Rangitaawa and Jen Waterson, and other established Wellington metal brands and artists. The Foundry also offers a selection of jewellery, collectables and curiosity. - Exhibitions, Pop-Ups and Co-labs- Bronze Art and Sculpture- Maori Art- Vintage Maoriana and Kiwiana- Jewellery and Curiosity- Retro, Industrial, Vintage, Modernist Collectables- Metalogy - Architectural Casting In 2016, Heavy Metal acquired and relocated PG2000 - an established machine and saw shop, that has been servicing the Wellington region for over 30 years. PG2000 PG2000 Precision Grinding PG2000 sharpen, repair and manufacture tools, cutters and blades; and stock a large range of Linbide, Starrett and Stark blades and router bits: - HSS Cut-Off Saws- Rotor Broaches + Router Bits- Tungsten + Carbide Tipped Tools- Grooving Saws + Bandsaws- Chisels, Handsaws + Garden Tools- Guillotine + Planer Blades- Profile Knives + Chipper Blades- Dieset Pins + Bushes, Drills- Spindle Moulders + Cutters- Starrett Holesaws + Tools- Linbide TCT Tools + Saws- Stark HSS + Jiffy Saws Click here for PG2000 enquiries B R E T T    R A N G I T A A W AM A S T E R   F O U N D R Y M A N   &   M A O R I   A R T I S T My life's work as a Foundryman, engineering and casting works for the design and art industries, inspires and enables me to pursue my passion for metal art. I started working with metal at 15, completing a metal casting apprenticeship at Neales Foundry in Lower Hutt.   13 years later, I opened The Heavy Metal Company Limited, casting work for the New Zealand manufacturing and creative industries.  During this time I have developed my own range of  bronze sculpture, which is exhibited in galleries throughout New Zealand. J E N    W A T E R S O NM E T A L   M A O R I   M A G I C J E N   W A T E R S O NF L O R I S T R Y ,   A R T   &   D E S I G NI have worked in Wellington's creative sector since I was 14 - Floristry and Television, Industrial and Product Design, Sculpture and Maori Art.I started working with metal in 1999, designing and producing a range of architectural casting under the brand name Metalogy.   This substantial range included signage and lettering, handles and architectural hardware, mirrors and tiles, garden sculpture and interior product, and was sold in NZ and Australia.Over the last decade I have focused on developing sculptural work, including Maori Art, geometric shapes, forms and jewellery; exhibiting my work throughout New Zealand. C O N T A C T  U S 5/55 Parkside Road, Seaview, Lower Hutt 5010PO Box 36093, Wellington Mail Centre, Petone 5045New Zealand Phone +64 4 939 6382Email:info@heavymetal.net.nz  ",10199
58,0,© 2006 Hebert Foundry & Machine Inc. All Rights Reserved.New Hampshire (NH) Website Design Development  ,104
58,1,"Hebert Foundry & Machine, Inc. has extensive experience in the aluminum sand casting foundry industry. The process of pouring molten aluminum into a sand mold continues to be a cost effective process, supplying parts to a variety of industries. Because of its positive features, aluminum remains the metal of choice across the automotive industry. Notwithstanding the automotive industry, aluminum sand casting continues to be used in other areas of the transportation industry including in aircraft and marine applications.Other industries served include machine tool fabrication, communication, medical and laboratory testing equipment, and food preparation machinery. Aluminum sand casting is the right choice for products that require hollow cavities and complex, unique arrangements of voids, shapes and ribs. Aluminum sand castings can be supplied in sizes from fractions of an ounce to 400 pounds; from 3/8 inch to 120 inches in width or length; and from one piece to tens of thousands of units.Aluminum castings are typically 0.10 pounds per cubic inch vs. 0.25 for ZA-12, 0.28 for iron, 0.29 for steel, 0.30/0.31 for brass/bronze, 0.33 for stainless steel. For high quantity applications, HFM can supply and machine permanent mold aluminum sand castings for the lowest price and highest dimensional quality with short turnaround times.HFM provides aluminum sand casting in the following alloys:• 355 and 356 aluminum alloys which are heat treated to T6 and T7 conditions• 319 aluminum alloy which is typically used without heat treatment (F)• 443 aluminum alloy• 535 aluminum-magnesium alloy for elongation and corrosion resistance• 713 aluminum alloy for physical strength of 356 without the heat treatment• ZA-12 zinc-aluminum for replacement of grey iron castings in many applications  ",1798
58,2,"Hebert Foundry and Machine, Inc. is a family owned and operated business with nearly 100 years of experience in the green sand casting and machining industries. Our staff of engineers, patternmakers, and metallurgists will ensure that your company chooses the right material and pattern to address your green sand casting needs. Green Sand Casting continues as the most widely used and cost effective process for sand casting. The process begins with the creation of a pattern that duplicates the shape of the desired part. Depending on the application of the part and desired outcome, HFM offers two sand compositions for the no bake sand casting process. One no bake sand casting process utilizes a molding material that is low cost and reusable. Typically, green sand is composed of washed, graded, dried, and screened/sized silica sand that is bonded with various natural clays and water. Other ingredients are used to achieve specific properties to allow molten metal to be formed in “near net shape”. The alternative composition utilizes sand molds of chemically bonded sand that are only used once. This process is superior for heavier castings and generally exhibits better dimensional control than traditional green sand. The “no-bake” molds can be assembled to form intricate castings. Cores, created from various compositions within the mold cavity, form the internal (and sometimes intricate) structure of hollow castings. The green sand casting process, and the no-bake sand casting process, facilitates the casting of complex parts. Castings produced from green sand handle vibration and stress much better than assemblies secured by fasteners. HFM green sand castings reduce weight and furnish rounded edges that are safer and more aesthetically pleasing than sharp, machined edges. The green sand casting process reduces the need for assemblies which significantly minimizes the need for machining and ultimately improves the tolerance of the finished product.  ",1978
